name,link,Maven,Gradle,Travis CI,Github Actions
apache/maven,https://github.com/apache/maven,Yes,No,No,Skipped
Netflix/zuul,https://github.com/Netflix/zuul,No,Yes,No,Skipped
apache/incubator-shenyu,https://github.com/apache/incubator-shenyu,Yes,No,No,Skipped
cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,No,Yes,No,No
apache/shiro,https://github.com/apache/shiro,Yes,No,No,maven.yml;
OpenTSDB/opentsdb,https://github.com/OpenTSDB/opentsdb,No,No,No,No
getodk/collect,https://github.com/getodk/collect,No,Yes,No,No
yangfuhai/ASimpleCache,https://github.com/yangfuhai/ASimpleCache,No,No,No,No
barry-ran/QtScrcpy,https://github.com/barry-ran/QtScrcpy,No,No,No,Skipped
citerus/dddsample-core,https://github.com/citerus/dddsample-core,Yes,No,Yes,No
devopshydclub/vprofile-project,https://github.com/devopshydclub/vprofile-project,Yes,No,No,No
MindorksOpenSource/android-mvp-architecture,https://github.com/MindorksOpenSource/android-mvp-architecture,No,Yes,No,No
rakeshcusat/Code4Reference,https://github.com/rakeshcusat/Code4Reference,No,No,No,No
bisq-network/bisq,https://github.com/bisq-network/bisq,No,Yes,Yes,build.yml;
FasterXML/jackson-databind,https://github.com/FasterXML/jackson-databind,Yes,No,Yes,Skipped
gabrielemariotti/cardslib,https://github.com/gabrielemariotti/cardslib,No,Yes,Yes,No
pedrovgs/EffectiveAndroidUI,https://github.com/pedrovgs/EffectiveAndroidUI,No,Yes,Yes,No
gshipley/openshift3mlbparks,https://github.com/gshipley/openshift3mlbparks,Yes,No,No,No
oldmanpushcart/greys-anatomy,https://github.com/oldmanpushcart/greys-anatomy,Yes,No,No,No
jwtk/jjwt,https://github.com/jwtk/jjwt,Yes,No,No,ci.yml;
hitherejoe/Android-Boilerplate,https://github.com/hitherejoe/Android-Boilerplate,No,Yes,Yes,No
Ficoxl/JamsMusicPlayer,https://github.com/Ficoxl/JamsMusicPlayer,No,Yes,No,No
derekoneil/twitter-feed-oke,https://github.com/derekoneil/twitter-feed-oke,Yes,No,No,No
alamkanak/Android-Week-View,https://github.com/alamkanak/Android-Week-View,No,Yes,No,No
brianway/java-learning,https://github.com/brianway/java-learning,Yes,No,No,No
hongyangAndroid/baseAdapter,https://github.com/hongyangAndroid/baseAdapter,No,Yes,No,No
eoecn/android-app,https://github.com/eoecn/android-app,No,No,No,No
qii/weiciyuan,https://github.com/qii/weiciyuan,No,Yes,No,No
codingXiaxw/seckill,https://github.com/codingXiaxw/seckill,Yes,No,No,No
fishercoder1534/Leetcode,https://github.com/fishercoder1534/Leetcode,No,Yes,Yes,No
JakeWharton/DiskLruCache,https://github.com/JakeWharton/DiskLruCache,Yes,No,Yes,No
junit-team/junit5,https://github.com/junit-team/junit5,No,No,No,Skipped
apache/parquet-mr,https://github.com/apache/parquet-mr,Yes,No,Yes,test.yml;
